model,split,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_sec,notes
Logistic Regression,train,0.951402478799739,0.0,0.0,0.0,0.848787367733237,0.04317597100089188,0.011085611997259548,Baseline linear model
Logistic Regression,val,0.9510763209393346,0.0,0.0,0.0,0.8413786008230453,0.04317597100089188,0.008552785999199841,Baseline linear model
Logistic Regression,test,0.952054794520548,1.0,0.02,0.0392156862745098,0.8429012345679012,0.04317597100089188,0.009003666000353405,Baseline linear model
KNN (k=5),train,0.9527071102413568,0.75,0.040268456375838924,0.07643312101910828,0.9400091571509757,0.039794276002794504,0.030267769001511624,"Small K -> more flexible, higher variance"
KNN (k=5),val,0.949119373776908,0.0,0.0,0.0,0.6202880658436214,0.039794276002794504,0.015219953998894198,"Small K -> more flexible, higher variance"
KNN (k=5),test,0.9461839530332681,0.0,0.0,0.0,0.621059670781893,0.039794276002794504,0.015873973999987356,"Small K -> more flexible, higher variance"
KNN (k=25),train,0.951402478799739,0.0,0.0,0.0,0.8689699125469074,0.04158912100319867,0.06120771799760405,"Large K -> smoother, higher bias"
KNN (k=25),val,0.9510763209393346,0.0,0.0,0.0,0.7685699588477366,0.04158912100319867,0.021019878000515746,"Large K -> smoother, higher bias"
KNN (k=25),test,0.9510763209393346,0.0,0.0,0.0,0.7659156378600822,0.04158912100319867,0.027272801999060903,"Large K -> smoother, higher bias"
"Decision Tree (shallow, depth=2)",train,0.9523809523809523,1.0,0.020134228187919462,0.039473684210526314,0.8180361362344782,0.14435699499881594,0.03040621499894769,Underfitting demo: too simple to capture pattern
"Decision Tree (shallow, depth=2)",val,0.9510763209393346,0.0,0.0,0.0,0.7971193415637859,0.14435699499881594,0.014056132997211535,Underfitting demo: too simple to capture pattern
"Decision Tree (shallow, depth=2)",test,0.949119373776908,0.0,0.0,0.0,0.7982613168724279,0.14435699499881594,0.010952166001516161,Underfitting demo: too simple to capture pattern
"Decision Tree (deep, unlimited)",train,1.0,1.0,1.0,1.0,1.0,0.03277994900054182,0.011417860998335527,Overfitting demo: grows until leaves are pure
"Decision Tree (deep, unlimited)",val,0.9148727984344422,0.10638297872340426,0.1,0.10309278350515463,0.5283950617283951,0.03277994900054182,0.00903233899953193,Overfitting demo: grows until leaves are pure
"Decision Tree (deep, unlimited)",test,0.9070450097847358,0.10526315789473684,0.12,0.11214953271028037,0.5337654320987655,0.03277994900054182,0.008761278000747552,Overfitting demo: grows until leaves are pure
Random Forest,train,1.0,1.0,1.0,1.0,1.0,0.8481369389992324,0.09291804800159298,"Ensemble of trees, bagging -> reduces variance vs single deep tree"
Random Forest,val,0.9510763209393346,0.0,0.0,0.0,0.8125720164609054,0.8481369389992324,0.0897134670012747,"Ensemble of trees, bagging -> reduces variance vs single deep tree"
Random Forest,test,0.9452054794520548,0.0,0.0,0.0,0.7949794238683128,0.8481369389992324,0.09052496300137136,"Ensemble of trees, bagging -> reduces variance vs single deep tree"
Gradient Boosting,train,0.974559686888454,1.0,0.47651006711409394,0.6454545454545455,0.9730991434152492,1.1040592850004032,0.016363650000130292,Sequential boosting -> corrects prior trees' errors
Gradient Boosting,val,0.949119373776908,0.25,0.02,0.037037037037037035,0.8381687242798355,1.1040592850004032,0.009908100000757258,Sequential boosting -> corrects prior trees' errors
Gradient Boosting,test,0.9500978473581213,0.3333333333333333,0.02,0.03773584905660377,0.819866255144033,1.1040592850004032,0.009708254001452588,Sequential boosting -> corrects prior trees' errors
XGBoost,train,0.9739073711676451,1.0,0.46308724832214765,0.6330275229357798,0.9951430287161812,0.21397349099788698,0.022409061002690578,"Regularized boosting, usually the strongest tabular baseline"
XGBoost,val,0.9481409001956947,0.0,0.0,0.0,0.8158230452674897,0.21397349099788698,0.013852208998287097,"Regularized boosting, usually the strongest tabular baseline"
XGBoost,test,0.9452054794520548,0.0,0.0,0.0,0.8238888888888889,0.21397349099788698,0.013928676999057643,"Regularized boosting, usually the strongest tabular baseline"
SVM (scaled),train,0.951402478799739,0.0,0.0,0.0,0.9500337065984406,0.9358071660026326,0.20004484799937927,Correct usage: numeric features standardized before SVM
SVM (scaled),val,0.9510763209393346,0.0,0.0,0.0,0.5495679012345679,0.9358071660026326,0.06661338299818453,Correct usage: numeric features standardized before SVM
SVM (scaled),test,0.9510763209393346,0.0,0.0,0.0,0.644567901234568,0.9358071660026326,0.07366576200001873,Correct usage: numeric features standardized before SVM
SVM (unscaled),train,0.951402478799739,0.0,0.0,0.0,0.7896731265228365,0.509184536000248,0.17107466800007387,Deliberately mis-specified: raw numeric ranges dominate the margin
SVM (unscaled),val,0.9510763209393346,0.0,0.0,0.0,0.7459053497942386,0.509184536000248,0.07495438199839555,Deliberately mis-specified: raw numeric ranges dominate the margin
SVM (unscaled),test,0.9510763209393346,0.0,0.0,0.0,0.7496502057613169,0.509184536000248,0.06149927300066338,Deliberately mis-specified: raw numeric ranges dominate the margin
