model,train_time_sec,inference_time_sec
Gradient Boosting,1.1040592850004032,0.009708254001452588
SVM (scaled),0.9358071660026326,0.07366576200001873
Random Forest,0.8481369389992324,0.09052496300137136
SVM (unscaled),0.509184536000248,0.06149927300066338
XGBoost,0.21397349099788698,0.013928676999057643
"Decision Tree (shallow, depth=2)",0.14435699499881594,0.010952166001516161
Logistic Regression,0.04317597100089188,0.009003666000353405
KNN (k=25),0.04158912100319867,0.027272801999060903
KNN (k=5),0.039794276002794504,0.015873973999987356
"Decision Tree (deep, unlimited)",0.03277994900054182,0.008761278000747552
